,Symbol,Name,Market,SecuGroup,Kind,ListingDate,DelistingDate,Reason,ArrantEnforceDate,ArrantEndDate,Industry,ParValue,ListingShares,ToSymbol,ToName
145,09664218,멜파스 4WR,KOSDAQ,신주인수권증권,보통주,2019-01-03,2021-10-26,기초주권의 관리종목 지정,2021-10-15,2021-10-25,,0.0,326921,,
146,087730,이엠네트웍스,KOSDAQ,주권,보통주,2008-04-04,2021-10-08,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2021-09-28,2021-10-07,반도체,500.0,3256190,,
147,033110,코너스톤네트웍스,KOSDAQ,주권,보통주,1997-08-18,2021-10-08,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),2021-09-28,2021-10-07,유통,500.0,129772391,,
148,039230,에이아이비트,KOSDAQ,주권,보통주,2000-06-22,2021-10-06,감사의견 거절(감사범위 제한),2021-09-24,2021-10-05,반도체,500.0,36787524,,
149,213090,미래테크놀로지,KOSDAQ,주권,보통주,2015-12-01,2021-10-05,피흡수합병,,,소프트웨어,500.0,6120788,,
150,111820,지유온,KOSDAQ,주권,보통주,2010-06-18,2021-09-30,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2021-09-16,2021-09-29,인터넷,500.0,29500978,,
151,74701772,이지스코어부동산제117호A,KOSPI,수익증권,보통주,2017-04-14,2021-09-29,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,32379784,139150,이지스자산운용
152,74702772,이지스코어부동산제117호F,KOSPI,수익증권,보통주,2017-04-14,2021-09-29,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,550216,139150,이지스자산운용
153,310840,엔에이치스팩13호,KOSDAQ,주권,보통주,2018-12-24,2021-09-23,상장예비심사청구서 미제출,2021-09-09,2021-09-17,금융,100.0,3420000,,
154,141070,맥스로텍,KOSDAQ,주권,보통주,2012-11-16,2021-09-16,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지,2021-09-07,2021-09-15,기계·장비,500.0,35895350,,
155,74401722,맵스프런티어브라질1,KOSPI,수익증권,보통주,2012-05-11,2021-09-15,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,80000000,036320,미래에셋자산운용
156,080440,에스제이케이,KOSDAQ,주권,보통주,2005-05-13,2021-09-13,해산사유 발생(파산선고),2021-09-02,2021-09-10,유통,500.0,13325960,,
157,033430,디에스티,KOSDAQ,주권,보통주,1998-05-25,2021-09-02,감사의견 한정(감사범위 제한),2021-08-24,2021-09-01,기계·장비,100.0,73956044,,
158,354230,폭스소프트,KONEX,주권,보통주,2020-06-25,2021-09-01,지정자문인 선임계약 해지 후 30일 이내 미체결(2021.8.18 限),2021-08-23,2021-08-31,-,500.0,600000,,
159,086250,이노와이즈,KOSDAQ,주권,보통주,2006-11-10,2021-08-31,감사의견 거절(감사범위 제한),2021-08-20,2021-08-30,기계·장비,500.0,30810174,,
160,74702B98,이지스코어리테일302호A,KOSPI,수익증권,보통주,2019-11-20,2021-08-30,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,51496276,139150,이지스자산운용
161,74701B98,이지스코어리테일302호C-I,KOSPI,수익증권,보통주,2019-11-20,2021-08-30,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,65800000,139150,이지스자산운용
162,033660,우리금융캐피탈,KOSPI,주권,보통주,2009-06-25,2021-08-27,지주회사(최대주주등)의 완전자회사화 등,,,기타금융,5000.0,57545890,,
163,038160,팍스넷,KOSDAQ,주권,보통주,2016-08-01,2021-08-23,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),2021-08-11,2021-08-20,금융,500.0,12240376,,
164,033600,럭슬,KOSDAQ,주권,보통주,2000-11-21,2021-08-11,감사의견 거절(감사범위 제한),2021-08-02,2021-08-10,운송장비·부품,500.0,52828103,,
165,065620,제낙스,KOSDAQ,주권,보통주,2002-06-27,2021-08-09,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),2021-07-29,2021-08-06,금속,500.0,4951894,,
166,311270,키움제5호스팩,KOSDAQ,주권,보통주,2018-12-26,2021-08-02,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,2021-07-22,2021-07-30,금융,100.0,3600000,,
167,284420,휴럼,KONEX,주권,보통주,2017-12-12,2021-07-27,피흡수합병,,,-,500.0,3800450,,
168,74201767,하나대체티마크그랜드부동산1호 A,KOSPI,수익증권,보통주,2016-08-31,2021-07-26,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,60555978,138960,하나대체투자자산운용
169,74202767,하나대체티마크그랜드부동산1호 F,KOSPI,수익증권,보통주,2016-08-31,2021-07-26,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,8444022,138960,하나대체투자자산운용
170,043290,케이맥,KOSDAQ,주권,보통주,2011-10-25,2021-07-20,피흡수합병,,,기계·장비,100.0,38503571,,
171,028150,GS홈쇼핑,KOSDAQ,주권,보통주,2000-01-20,2021-07-16,피흡수합병,,,방송서비스,5000.0,6562500,,
172,307070,SK4호스팩,KOSDAQ,주권,보통주,2018-12-07,2021-07-13,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,2021-07-02,2021-07-12,금융,100.0,5160000,,
173,05011217,캠시스 7WR,KOSDAQ,신주인수권증권,보통주,2017-08-30,2021-07-13,신주인수권 행사기간 만료,,,,0.0,1146509,050110,캠시스
174,307160,하나머스트제6호스팩,KOSDAQ,주권,보통주,2018-11-30,2021-07-08,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,2021-06-29,2021-07-07,금융,100.0,4590000,,
175,71301A1B,멀티에셋월지급식안심튼튼제2호,KOSPI,수익증권,보통주,2012-02-24,2021-06-16,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,10497046,030880,멀티에셋자산운용
176,900080,에스앤씨엔진그룹,KOSDAQ,외국주권,보통주,2009-12-04,2021-06-14,"법정제출기한까지 사업보고서를 제출하지 아니한 후, 법정제출기한의 다음날부터 10일이내에 사업보고서를 제출하지 아니함 ",2021-06-03,2021-06-11,금융,,123759593,,
177,226350,아이엠텍,KOSDAQ,주권,보통주,2016-02-03,2021-06-11,감사의견 거절(감사범위 제한),2021-06-02,2021-06-10,통신장비,500.0,4831715,,
178,195440,퓨전,KOSDAQ,주권,보통주,2016-12-21,2021-06-10,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),2021-06-01,2021-06-09,소프트웨어,500.0,4135992,,
179,008800,행남사,KOSDAQ,주권,보통주,1993-09-03,2021-06-07,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2021-05-27,2021-06-04,음식료·담배,500.0,45628344,,
180,073070,에이팸,KOSDAQ,주권,보통주,2004-01-28,2021-06-04,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당,2021-05-26,2021-06-03,운송장비·부품,500.0,28711325,,
181,06451219,에코마이스터 3WR,KOSDAQ,신주인수권증권,보통주,2019-10-23,2021-05-31,기초주권의 관리종목 지정 및 상장폐지 사유 발생,2021-05-20,2021-05-28,,0.0,1086078,,
182,224880,SGA클라우드서비스,KONEX,주권,보통주,2017-05-23,2021-05-06,분산요건 미달,2021-04-26,2021-05-04,-,500.0,5418165,,
183,120780,전우정밀,KONEX,주권,보통주,2016-12-23,2021-05-06,분산요건 미달,2021-04-26,2021-05-04,-,500.0,3100000,,
184,00263217,오리엔트바이오 12WR,KOSPI,신주인수권증권,보통주,2017-06-13,2021-04-26,신주인수권증권 행사기간 및 행사의 만료,,,,0.0,21728131,002630,오리엔트바이오
185,03662216,감성코퍼레이션 2WR,KOSDAQ,신주인수권증권,보통주,2016-06-03,2021-04-20,신주인수권 행사기간 만료,,,,0.0,210382,036620,감성코퍼레이션
186,102210,에이치디,KOSDAQ,주권,보통주,2009-05-21,2021-04-19,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2021-04-08,2021-04-16,운송장비·부품,100.0,73696405,,
187,023890,한국아트라스비엑스,KOSDAQ,주권,보통주,1994-11-23,2021-04-19,피흡수합병,,,IT부품,1000.0,9150000,,
188,005190,동성화학,KOSPI,주권,보통주,1988-07-01,2021-04-16,해산 사유 발생,,,화학,1000.0,5335564,,
