,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,lateInfoMsgCd
45,003550,KR7003550001,LG,KOSPI,,112100,1,300,0.27,114000,114200,111500,36753,4137963150,16948623648400,151192004,STK,ME005
46,018260,KR7018260000,삼성에스디에스,KOSPI,,218000,1,2000,0.93,222000,222500,218000,41788,9166764750,16868360400000,77377800,STK,ME005
47,267250,KR7267250009,HD현대,KOSPI,,210500,2,-12000,-5.39,224000,224000,208500,118961,25194980500,16628044392500,78993085,STK,ME005
48,003670,KR7003670007,포스코퓨처엠,KOSPI,,183100,1,900,0.49,186900,188100,181700,78956,14472426050,16286052882000,88946220,STK,ME005
49,024110,KR7024110009,기업은행,KOSPI,,20150,3,0,0.0,20350,20350,20100,210146,4238567025,16068131260350,797425869,STK,ME005
50,079550,KR7079550000,LIG디펜스앤에어로스페이스,KOSPI,,728000,1,20000,2.82,711000,735000,711000,38396,27736446000,16016000000000,22000000,STK,ME005
51,086280,KR7086280005,현대글로비스,KOSPI,,203500,2,-2500,-1.21,208500,209000,203000,33137,6779926000,15262500000000,75000000,STK,ME005
52,272210,KR7272210006,한화시스템,KOSPI,,79600,1,2100,2.71,77600,81500,76100,678494,53702307000,15037983364400,188919389,STK,ME005
53,035720,KR7035720002,카카오,KOSPI,,33500,3,0,0.0,34000,34150,33350,532507,17878863575,14840496750500,442999903,STK,ME005
54,000720,KR7000720003,현대건설,KOSPI,,126300,1,1000,0.8,127000,129300,125200,268849,34224980550,14064233119500,111355765,STK,ME005
55,278470,KR7278470000,에이피알,KOSPI,,371500,1,18500,5.24,355000,372000,350500,129089,46803412500,13908274582500,37438155,STK,ME005
56,064350,KR7064350002,현대로템,KOSPI,,123700,1,1400,1.14,123400,124000,121600,93941,11531293950,13500901644100,109142293,STK,ME005
57,030200,KR7030200000,KT,KOSPI,,53000,2,-400,-0.75,53600,53600,52800,89423,4755586800,13357149305000,252021685,STK,ME005
58,047810,KR7047810007,한국항공우주,KOSPI,,129900,2,-500,-0.38,131600,131700,129000,58129,7563458800,12662016399300,97475107,STK,ME005
59,011070,KR7011070000,LG이노텍,KOSPI,,533000,1,26000,5.13,523000,538000,518500,82484,43637958500,12614568031000,23667107,STK,ME005
60,005830,KR7005830005,DB손해보험,KOSPI,,189200,2,-3600,-1.87,192800,192900,187400,99635,18857480050,12392666030800,65500349,STK,ME005
61,086520,KR7086520004,에코프로,KOSDAQ GLOBAL,중견기업부,81800,2,-500,-0.61,83500,83900,81600,198845,16355325950,11106489233600,135776152,KSQ,ME005
62,443060,KR7443060009,HD현대마린솔루션,KOSPI,,243000,1,1000,0.41,243000,245000,240500,19360,4694618500,10894530780000,44833460,STK,ME005
