,Code,Name,Market,Sector,Industry,Products,ListingDate,SettleMonth,Representative,HomePage,Region
2116,418550,제이오,KOSDAQ,기술성장기업부,,,,,,,
2117,060230,제이케이시냅스,KOSDAQ,중견기업부,,,,,,,
2118,420570,제이투케이바이오,KOSDAQ,벤처기업부,,,,,,,
2119,089790,제이티,KOSDAQ,벤처기업부,,,,,,,
2120,0010V0,제이피아이헬스케어,KOSDAQ,벤처기업부,,,,,,,
2121,030000,제일기획,KOSPI,,,,,,,,
2122,271980,제일약품,KOSPI,,,,,,,,
2123,412540,제일엠앤에스,KOSDAQ,관리종목(소속부없음),,,,,,,
2124,001560,제일연마,KOSPI,,,,,,,,
2125,199820,제일일렉트릭,KOSDAQ,우량기업부,,,,,,,
2126,038010,제일테크노스,KOSDAQ,우량기업부,,,,,,,
2127,002620,제일파마홀딩스,KOSPI,,,,,,,,
2128,080220,제주반도체,KOSDAQ,우량기업부,,,,,,,
2129,006220,제주은행,KOSPI,,,,,,,,
2130,089590,제주항공,KOSPI,,,,,,,,
2131,216080,제테마,KOSDAQ,벤처기업부,,,,,,,
2132,337930,젝시믹스,KOSDAQ,우량기업부,,,,,,,
2133,229000,젠큐릭스,KOSDAQ,기술성장기업부,,,,,,,
2134,082270,젬백스,KOSDAQ,벤처기업부,,,,,,,
2135,004910,조광페인트,KOSPI,,,,,,,,
2136,004700,조광피혁,KOSPI,,,,,,,,
2137,001550,조비,KOSPI,,,,,,,,
2138,462520,조선내화,KOSPI,,,,,,,,
2139,120030,조선선재,KOSPI,,,,,,,,
2140,034940,조아제약,KOSDAQ,중견기업부,,,,,,,
2141,067000,조이시티,KOSDAQ,중견기업부,,,,,,,
2142,309930,조이웍스앤코,KOSDAQ,중견기업부,,,,,,,
2143,018470,조일알미늄,KOSPI,,,,,,,,
2144,002600,조흥,KOSPI,,,,,,,,
2145,018700,졸스,KOSDAQ,투자주의환기종목(소속부없음),,,,,,,
2146,185750,종근당,KOSPI,,,,,,,,
2147,063160,종근당바이오,KOSPI,,,,,,,,
2148,001630,종근당홀딩스,KOSPI,,,,,,,,
2149,033340,좋은사람들,KOSDAQ,중견기업부,,,,,,,
2150,036930,주성엔지니어링,KOSDAQ GLOBAL,우량기업부,,,,,,,
2151,109070,주성코퍼레이션,KOSPI,,,,,,,,
2152,044380,주연테크,KOSPI,,,,,,,,
2153,072020,중앙백신,KOSDAQ,벤처기업부,,,,,,,
2154,000440,중앙에너비스,KOSDAQ,중견기업부,,,,,,,
2155,051980,중앙첨단소재,KOSDAQ,중견기업부,,,,,,,
2156,221800,지구홀딩스,KOSDAQ,투자주의환기종목(소속부없음),,,,,,,
2157,228760,지노믹트리,KOSDAQ,기술성장기업부,,,,,,,
2158,314130,지놈앤컴퍼니,KOSDAQ,기술성장기업부,,,,,,,
2159,013890,지누스,KOSPI,,,,,,,,
2160,389030,지니너스,KOSDAQ,기술성장기업부,,,,,,,
2161,263860,지니언스,KOSDAQ,벤처기업부,,,,,,,
2162,303030,지니틱스,KOSDAQ,벤처기업부,,,,,,,
2163,208350,지란지교시큐리티,KOSDAQ,벤처기업부,,,,,,,
2164,446840,지슨,KOSDAQ,기술성장기업부,,,,,,,
2165,144510,지씨셀,KOSDAQ,중견기업부,,,,,,,
2166,340450,지씨지놈,KOSDAQ,기술성장기업부,,,,,,,
2167,306620,지아이에스,KOSDAQ,벤처기업부,,,,,,,
