,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,lateInfoMsgCd
162,399720,KR7399720002,가온칩스,KOSDAQ,벤처기업부,44000,1,1250,2.92,43050,44300,42550,62210,2709506825,521789136000,11858844,KSQ,ME005
163,397030,KR7397030008,에이프릴바이오,KOSDAQ,기술성장기업부,18790,1,510,2.79,18200,18950,18150,98334,1830634785,517829513780,27558782,KSQ,ME005
164,112040,KR7112040001,위메이드,KOSDAQ,중견기업부,15250,1,320,2.14,15130,15340,14990,41228,626480435,517714365750,33948483,KSQ,ME005
165,052020,KR7052020005,에스티큐브,KOSDAQ,투자주의환기종목(소속부없음),7570,1,310,4.27,7260,7660,7250,86555,653999450,514633512870,67983291,KSQ,ME005
166,101160,KR7101160000,월덱스,KOSDAQ,우량기업부,31000,1,1100,3.68,30200,31250,29800,32482,1003943775,511840783000,16510993,KSQ,ME005
167,025980,KR7025980004,아난티,KOSDAQ,우량기업부,5210,1,40,0.77,5120,5270,5100,461952,2394449415,506938157900,97300990,KSQ,ME005
168,144960,KR7144960002,뉴파워프라즈마,KOSDAQ,우량기업부,11500,1,1220,11.87,10390,11900,10390,1996629,22614720965,502465176000,43692624,KSQ,ME005
169,037460,KR7037460003,삼지전자,KOSDAQ,우량기업부,30750,2,-550,-1.76,31450,31450,30600,18662,575036000,501794551500,16318522,KSQ,ME005
170,211050,KR7211050000,인카금융서비스,KOSDAQ,우량기업부,10180,2,-450,-4.23,10380,10530,10010,61825,627239890,501504028260,49263657,KSQ,ME005
171,376900,KR7376900007,로킷헬스케어,KOSDAQ,기술성장기업부,28650,1,150,0.53,28150,29000,28000,33900,968284825,499807558500,17445290,KSQ,ME005
172,033500,KR7033500000,동성화인텍,KOSDAQ,우량기업부,16510,2,-60,-0.36,16650,16650,16380,16546,272546060,495126545940,29989494,KSQ,ME005
173,086900,KR7086900008,메디톡스,KOSDAQ,우량기업부,67700,1,400,0.59,67300,67800,66500,4484,300440500,494108246900,7298497,KSQ,ME005
174,092870,KR7092870005,엑시콘,KOSDAQ,우량기업부,37450,1,2050,5.79,35400,38550,35300,276757,10448802700,488752347650,13050797,KSQ,ME005
175,027360,KR7027360007,아주IB투자,KOSDAQ,중견기업부,4030,1,165,4.27,3935,4235,3915,6978982,28329543201,488215986180,121145406,KSQ,ME005
176,056080,KR7056080005,유진로봇,KOSDAQ,중견기업부,12760,1,260,2.08,12510,12880,11860,364820,4547555510,487884801360,38235486,KSQ,ME005
177,082270,KR7082270000,젬백스,KOSDAQ,벤처기업부,10550,1,580,5.82,10420,10710,10360,86399,911224380,479820192850,45480587,KSQ,ME005
178,080580,KR7080580004,오킨스전자,KOSDAQ,벤처기업부,22750,1,550,2.48,22250,24100,21850,391951,9182724650,479819226250,21090955,KSQ,ME005
179,035890,KR7035890003,서희건설,KOSDAQ,중견기업부,2310,2,-30,-1.28,2330,2410,2280,185595,431071322,479529518160,207588536,KSQ,ME005
180,098120,KR7098120009,마이크로컨텍솔,KOSDAQ,우량기업부,57500,1,4000,7.48,53800,57600,52600,110322,6149263300,477984045000,8312766,KSQ,ME005
181,019210,KR7019210004,와이지-원,KOSDAQ,우량기업부,12790,2,-510,-3.83,13300,13300,12610,390243,4989534220,475707781120,37193728,KSQ,ME005
182,214430,KR7214430001,아이쓰리시스템,KOSDAQ,우량기업부,65000,1,2400,3.83,62300,65400,62200,10499,674449800,474968975000,7307215,KSQ,ME005
183,099190,KR7099190001,아이센스,KOSDAQ,중견기업부,16020,2,-170,-1.05,16200,16200,16000,9106,145946560,473769280260,29573613,KSQ,ME005
184,386380,KR7386380000,스카이랩스,KOSDAQ,기술성장기업부,25250,1,5810,29.89,20200,25250,19610,8828428,203072473785,473739919250,18761977,KSQ,ME005
185,015750,KR7015750003,성우하이텍,KOSDAQ,우량기업부,5900,2,-70,-1.17,5950,5950,5880,60088,354812145,472000000000,80000000,KSQ,ME005
186,034950,KR7034950006,한국기업평가,KOSDAQ,우량기업부,103800,1,500,0.48,104000,104000,103100,299,30943100,471305353200,4540514,KSQ,ME005
187,069540,KR7069540003,빛과전자,KOSDAQ,벤처기업부,4175,1,75,1.83,4115,4330,4105,5454115,22917481521,470488669975,112691897,KSQ,ME005
188,089890,KR7089890008,코세스,KOSDAQ,우량기업부,28250,1,100,0.36,28150,29300,27600,113276,3248061450,468525176500,16584962,KSQ,ME005
189,460930,KR7460930001,현대힘스,KOSDAQ,우량기업부,13190,2,-90,-0.68,13280,13360,13120,38187,503541590,468385750490,35510671,KSQ,ME005
190,041190,KR7041190000,우리기술투자,KOSDAQ,우량기업부,5850,1,420,7.73,5710,6280,5600,9801218,58833893225,466830000000,79800000,KSQ,ME005
191,219130,KR7219130002,타이거일렉,KOSDAQ,벤처기업부,73900,1,1900,2.64,72400,77400,70800,17876,1338385000,466626031000,6314290,KSQ,ME005
192,024850,KR7024850000,HLB이노베이션,KOSDAQ,중견기업부,14510,1,800,5.84,14130,14900,13670,125260,1800356225,460743923440,31753544,KSQ,ME005
193,125490,KR7125490003,한라캐스트,KOSDAQ,벤처기업부,12620,1,570,4.73,11900,13180,11680,3348187,42112756335,460659682240,36502352,KSQ,ME005
194,348340,KR7348340001,뉴로메카,KOSDAQ,기술성장기업부,19610,1,140,0.72,19520,19990,18640,252665,4906126275,459039194640,23408424,KSQ,ME005
195,383310,KR7383310000,에코프로에이치엔,KOSDAQ,우량기업부,21850,2,-350,-1.58,22400,22400,21800,53077,1162472525,458302264200,20974932,KSQ,ME005
196,365340,KR7365340009,성일하이텍,KOSDAQ,기술성장기업부,35450,1,50,0.14,35350,37200,34400,16489,580074100,458053526750,12921115,KSQ,ME005
197,340570,KR7340570001,티앤엘,KOSDAQ,우량기업부,27700,1,400,1.47,27500,28250,27200,37886,1057871350,445142324000,16070120,KSQ,ME005
198,348370,KR7348370008,엔켐,KOSDAQ,중견기업부,20250,2,-150,-0.74,20050,20325,19890,51208,1027814630,443697628500,21910994,KSQ,ME005
