Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2005-05-02,118.46,1,0.88,0.0075,118.29,118.48,117.68,68339570.0,886017951345.0,370077961173895.0
2005-05-03,117.89,2,-0.57,-0.0048,118.81,119.12,117.47,85328098.0,1009598051039.0,368271812159155.0
2005-05-04,119.95,1,2.06,0.0175,118.15,120.19,118.15,87069575.0,1313664991067.0,374766016974490.0
2005-05-06,121.26,1,1.31,0.0109,120.4,121.54,120.37,87959866.0,1596483302784.0,379328405110265.0
2005-05-09,120.48,2,-0.78,-0.0064,121.41,121.45,119.36,90724125.0,1445902469400.0,377283296472885.0
2005-05-10,120.4,2,-0.08,-0.0007000000000000001,121.01,121.26,120.3,76548557.0,1201818198715.0,376798819911925.0
2005-05-11,119.02,2,-1.38,-0.0115,119.48,119.66,118.66,75411096.0,1245601833656.0,372361595459550.0
2005-05-12,118.69,2,-0.33,-0.0028000000000000004,119.0,119.74,118.69,69041008.0,1217548070669.0,371544289172200.0
2005-05-13,118.87,1,0.18,0.0015,118.38,119.1,117.2,82376881.0,1330300942965.0,372556114616490.0
2005-05-16,119.65,1,0.78,0.0066,119.13,120.5,119.1,92966619.0,1309265525585.0,374937916637980.0
2005-05-17,119.51,2,-0.14,-0.0012,120.9,121.25,118.75,91250079.0,1266156202805.0,374170739096365.0
2005-05-18,120.08,1,0.57,0.0048,120.6,120.84,119.55,101052586.0,1350519790423.0,375752921553145.0
2005-05-19,123.04,1,2.96,0.024700000000000003,121.53,123.13,121.53,112390704.0,1877276915133.0,385094951419615.0
2005-05-20,123.02,2,-0.02,-0.0002,123.35,123.57,122.47,83329154.0,1213371867848.0,384965255227815.0
2005-05-23,122.87,2,-0.15,-0.0012,123.38,123.38,122.24,62039179.0,938559976815.0,384382457258545.0
2005-05-24,122.91,1,0.04,0.0003,123.34,123.43,122.36,81236268.0,1156101077612.0,385164632622485.0
2005-05-25,121.37,2,-1.54,-0.0125,122.82,123.39,121.18,90619894.0,1505341377550.0,380557414258270.0
2005-05-26,121.7,1,0.33,0.0027,121.24,121.7,121.05,70314180.0,1067843646205.0,381536294590845.0
2005-05-27,123.89,1,2.19,0.018000000000000002,123.03,124.22,122.58,90814943.0,1566243973436.0,388312277351825.0
2005-05-30,124.64,1,0.75,0.0060999999999999995,124.02,124.65,123.78,67296066.0,1141370889910.0,391156862782685.0
2005-05-31,124.84,1,0.2,0.0016,124.66,125.12,123.56,76320685.0,1337598513665.0,391655457654195.0
2005-06-01,124.9,1,0.06,0.0005,124.06,125.2,124.0,76725285.0,1235998630211.0,391440253570495.0
2005-06-02,125.04,1,0.14,0.0011,125.87,126.19,125.04,113845333.0,1518749758712.0,391738791044990.0
2005-06-03,125.7,1,0.66,0.0053,125.2,125.7,124.89,104658250.0,1374156245145.0,393881556673175.0
2005-06-07,124.79,2,-0.91,-0.0072,125.62,125.62,124.56,91648916.0,1490015574101.0,391494447467400.0
2005-06-08,125.62,1,0.83,0.0067,124.48,125.76,124.46,104511470.0,1813198241267.0,393848308570150.0
2005-06-09,127.22,1,1.6,0.0127,125.12,127.22,124.89,129652547.0,2371449425011.0,398676112575570.0
2005-06-10,127.68,1,0.46,0.0036,127.04,128.2,126.67,129732281.0,1949199059602.0,403765515502530.0
2005-06-13,127.65,2,-0.03,-0.0002,127.93,128.8,127.49,100345020.0,1483515143320.0,403497756032505.0
2005-06-14,126.9,2,-0.75,-0.0059,127.51,128.15,126.72,103235295.0,1564101721870.0,400925141266995.0
2005-06-15,129.27,1,2.37,0.0187,127.0,129.27,126.6,129197260.0,2008813067660.0,408397623571340.0
2005-06-16,129.27,3,0.0,0.0,129.04,129.73,128.87,136712711.0,2023533587175.0,408275246662235.0
2005-06-17,129.33,1,0.06,0.0005,129.69,129.78,128.49,120661609.0,1817770844430.0,408688288933305.0
2005-06-20,128.17,2,-1.16,-0.009000000000000001,129.38,129.43,127.76,113404219.0,1530072037150.0,404701633884780.0
2005-06-21,127.66,2,-0.51,-0.004,127.86,128.63,127.15,108267424.0,1752008052385.0,402793829264990.0
2005-06-22,129.24,1,1.58,0.0124,127.46,129.38,127.13,177308981.0,2070575130133.0,407681958198835.0
2005-06-23,130.39,1,1.15,0.0089,129.26,130.41,129.02,142473727.0,2184408695985.0,410949372691055.0
2005-06-24,129.08,2,-1.31,-0.01,129.17,129.91,128.17,136735936.0,1976630315602.0,406901022817100.0
2005-06-27,127.45,2,-1.63,-0.0126,128.32,128.46,126.78,124695931.0,1753130231895.0,401747801746230.0
2005-06-28,127.92,1,0.47,0.0037,127.23,127.99,126.99,127122163.0,1822693184916.0,403413960261085.0
2005-06-29,128.41,1,0.49,0.0038,128.57,129.39,127.77,116213958.0,1700578872110.0,404960914853440.0
2005-06-30,129.43,1,1.02,0.0079,128.2,129.72,128.2,125478190.0,1762553563304.0,408298594068380.0
