,Code,Name,Close,RateCode,STR_CMP_PRC,Rate,Marcap,IDX_ID
646,005320,온타이드,1192,1,9,0.76,40751911240,
647,005360,모나미,1334,1,9,0.68,25209007538,
648,005430,한국공항,80400,1,400,0.5,254574942000,
649,005500,삼진제약,18460,2,-90,-0.49,245887200000,
650,005680,삼영전자,12340,1,20,0.16,246800000000,
651,005740,크라운해태홀딩스,5640,2,-10,-0.18,83739037080,
652,005750,대림바스,4595,1,45,0.99,76241342800,
653,005800,신영와코루,13580,1,30,0.22,122220000000,
654,005820,원림,14690,1,40,0.27,33757179300,
655,005870,휴니드,4590,2,-10,-0.22,64792508850,
656,005960,동부건설,8270,2,-30,-0.36,189768903010,
657,006060,화승인더,2405,2,-10,-0.41,133044600000,
658,006090,사조오양,8860,2,-60,-0.67,83485467540,
659,006200,한국전자홀딩스,1836,1,21,1.16,17186111172,
660,006370,대구백화점,3200,2,-135,-4.05,34629155200,
661,006380,카프로,120,2,-24,-16.67,20279999520,
662,006490,프리티,2390,4,550,29.89,42413735870,
663,006570,대림통상,1939,2,-57,-2.86,29521275000,
664,006660,삼성공조,12520,2,-460,-3.54,101741451280,
665,006740,블루산업개발,5100,2,-40,-0.78,30349890900,
666,006840,AK홀딩스,7690,2,-80,-1.03,101873744090,
667,006880,신송홀딩스,4610,2,-120,-2.54,54531035380,
668,006890,태경케미컬,5090,2,-20,-0.39,59044000000,
669,006980,우성,17300,1,60,0.35,53457000000,
670,007110,일신석재,603,0,0,0.0,46706335830,
671,007120,미래아이앤지,1062,1,5,0.47,29017147068,
672,007160,사조산업,50900,1,200,0.39,254500000000,
673,007210,벽산,1426,1,8,0.56,93203360000,
674,007280,한국특강,2430,1,25,1.04,69611092200,
675,007460,에이프로젠,2005,1,5,0.25,49776035765,
676,007540,샘표,62900,1,7200,12.93,180887820000,
677,007570,일양약품,8170,2,-100,-1.21,155929874880,
678,007590,동방아그로,5600,3,0,0.0,76258431200,
679,007610,선도전기,4095,2,-55,-1.33,73710000000,
680,007860,서연,7660,1,20,0.26,179855605040,
681,007980,TP,1713,2,-5,-0.29,80335160550,
682,008040,사조동아원,7950,2,-280,-3.4,112209957000,
683,008250,이건산업,3150,1,25,0.8,34500800250,
684,008260,NI스틸,3400,2,-50,-1.45,97240397800,
685,008350,남선알미늄,1053,2,-6,-0.57,135920281770,
686,008420,문배철강,2215,2,-25,-1.12,45415263575,
687,008490,서흥,20950,2,-50,-0.24,242372917350,
688,008600,윌비스,2620,0,0,0.0,17615839860,
689,008700,아남전자,1260,2,-34,-2.63,97177273200,
690,008870,금비,39950,2,-550,-1.36,39950000000,
691,008970,KBI동양철관,1178,1,1,0.08,122237416446,
692,009070,KCTC,4075,1,85,2.13,122250000000,
693,009140,경인전자,22200,1,100,0.45,34871693400,
694,009180,한솔로지스틱스,2760,3,0,0.0,77710077000,
695,009190,대양금속,1249,2,-9,-0.72,54938857475,
696,009200,무림페이퍼,1474,2,-14,-0.94,61332122940,
697,009270,신원,1111,1,1,0.09,127509906623,
698,009310,참엔지니어링,5330,0,0,0.0,23329484620,
699,009320,아진전자부품,962,1,2,0.21,47426378740,
700,009440,KC그린홀딩스,756,0,0,0.0,17568790596,
701,002100,경농,9170,2,-50,-0.54,179022012750,
702,002140,고려산업,2095,1,25,1.21,52248095375,
703,002150,도화엔지니어링,5350,2,-20,-0.37,180402000000,
704,002170,SYTS,54100,1,700,1.31,162300000000,
705,002200,한국수출포장,2850,2,-15,-0.52,95474831850,
706,002210,동성제약,1407,2,-6,-0.42,135943646349,
707,002220,한일철강,3175,2,-10,-0.31,84764435500,
708,002320,한진,14580,2,-20,-0.14,226261421280,
709,002360,SH에너지화학,1634,2,-27,-1.63,18159251482,
710,002390,한독,9500,1,40,0.42,130753563500,
711,002410,범양건영,1935,0,0,0.0,53173451700,
712,002420,우양피앤엘,5550,2,-70,-1.25,172981756200,
713,002450,삼익악기,1131,2,-6,-0.53,102390464865,
714,002460,HS화성,10870,1,190,1.78,110330500000,
715,002600,조흥,137200,3,0,0.0,82320000000,
716,002620,제일파마홀딩스,7690,1,80,1.05,122835099950,
717,002630,오리엔트바이오,913,0,0,0.0,54133141326,
718,002690,동일제강,1455,2,-4,-0.27,29537023800,
719,002700,신일전자,987,3,0,0.0,67656403227,
720,002720,국제약품,3345,1,20,0.6,70779638040,
